distrito,total_personas,total_hogares
CIUDAD DEL ESTE,325819,91335
DOMINGO MARTÍNEZ DE IRALA,5035,1447
DR. JUAN LEÓN MALLORQUÍN,16144,4570
DR. RAÚL PEÑA,5617,1708
HERNANDARIAS,83285,23217
IRUÑA,3943,1258
ITAKYRY,27340,7913
JUAN E. O'LEARY,16092,4756
LOS CEDRALES,7258,2115
MBARACAYÚ,6406,2032
MINGA GUAZÚ,81072,22674
MINGA PORÁ,11959,3658
NARANJAL,6608,2174
PRESIDENTE FRANCO,88744,23779
SAN ALBERTO,11162,3765
SAN CRISTÓBAL,8563,2654
SANTA FE DEL PARANÁ,3981,1214
SANTA RITA,27249,8872
SANTA ROSA DEL MONDAY,5923,1924
TAVAPY,6903,2000
YGUAZÚ,8131,2413
ÑACUNDAY,6468,1811
