distrito,pct_nbi,pct_vivienda,pct_sanitario,pct_educacion,pct_subsistencia
CIUDAD DEL ESTE,27.0,5.1,10.2,9.1,7.8
DOMINGO MARTÍNEZ DE IRALA,39.1,4.9,19.6,17.3,9.4
DR. JUAN LEÓN MALLORQUÍN,36.2,5.7,17.6,11.8,11.4
DR. RAÚL PEÑA,25.1,3.7,9.6,12.0,5.8
HERNANDARIAS,28.8,5.5,12.7,10.6,6.8
IRUÑA,22.0,3.0,8.4,9.1,4.4
ITAKYRY,50.3,11.0,30.4,19.5,16.9
JUAN E. O'LEARY,37.7,5.2,18.1,12.8,10.1
LOS CEDRALES,34.0,5.3,12.1,16.9,8.6
MBARACAYÚ,40.8,4.1,19.8,20.0,13.4
MINGA GUAZÚ,29.2,6.3,12.0,10.7,6.7
MINGA PORÁ,37.1,7.3,18.1,15.7,10.9
NARANJAL,27.7,1.9,13.0,12.2,4.6
PRESIDENTE FRANCO,30.4,6.5,13.4,10.1,7.5
SAN ALBERTO,25.7,1.9,6.4,14.5,6.3
SAN CRISTÓBAL,29.7,3.4,16.3,11.5,5.4
SANTA FE DEL PARANÁ,30.6,3.5,6.8,20.2,8.2
SANTA RITA,19.8,2.8,7.3,8.0,4.0
SANTA ROSA DEL MONDAY,26.2,1.3,13.0,10.7,5.3
TAVAPY,37.5,5.4,18.7,12.7,9.0
YGUAZÚ,30.0,6.4,12.6,15.0,8.6
ÑACUNDAY,40.4,8.7,22.1,15.4,9.3
