distrito,pct_nbi,pct_vivienda,pct_sanitario,pct_educacion,pct_subsistencia
Encarnacion,22.0,3.7,5.0,8.3,8.2
Bella Vista,26.4,3.8,7.2,13.1,8.1
Cambyreta,24.5,4.9,6.4,10.9,6.6
Capitan Meza,26.7,3.4,9.3,13.9,6.1
Capitan Miranda,20.7,3.2,4.7,9.7,6.3
Nueva Alborada,27.8,4.2,7.9,11.7,7.3
Carmen Del Parana,28.3,3.5,7.4,11.5,12.0
Coronel Bogado,25.7,3.6,6.5,10.9,9.9
Carlos A Lopez,37.6,6.3,18.7,16.8,10.4
Natalio,36.1,3.6,15.5,16.2,10.0
Fram,23.3,4.5,6.8,9.3,6.6
Gral Artigas,30.4,3.2,7.9,14.4,12.3
Gral. Delgado,23.7,3.4,2.8,10.7,9.6
Hohenau,19.5,3.3,4.5,8.0,6.8
Jesus,39.9,3.9,21.9,16.1,11.0
Leandro Oviedo,35.8,3.3,13.8,14.7,10.8
Obligado,26.1,3.9,8.7,12.2,7.9
Mayor Otano,46.3,6.7,29.0,17.5,11.1
San Cosme Y Damian,37.8,5.8,13.1,16.9,12.6
San Pedro Del Parana,41.6,4.5,15.3,21.0,13.8
San Rafael Del Parana,35.4,4.9,16.7,15.1,9.6
Trinidad,32.1,6.9,11.3,14.7,9.9
Edelira,31.7,3.5,12.1,15.1,8.5
Tomas Romero P.,30.1,4.4,11.2,12.8,8.8
Alto Vera,47.6,9.9,24.4,23.2,12.0
La Paz,22.9,5.2,6.0,10.6,5.5
Yatytay,31.6,2.9,11.2,14.9,9.6
San Juan,27.4,4.8,6.8,12.3,9.7
Pirapo,36.2,8.2,17.5,18.8,10.9
Isla,33.1,5.9,12.6,18.4,9.8
